3COINS#L2|L2-11b-01
New Era#G|G-08
Ngam Ngam#L2|L2-59
NIID#L1|L1-46
NITORI#L3|L3-10b
Nojima#L3|L3-10a
NOT ONLY TOY#L1|L1-40, L1-41
Nullset Goods#L2|L2-43
Oakley#G|G-22
Objet#L3|L3-40b, L3-41
Oiso Korean Traditional Cuisine & Cafe#LG1|LG1-15c
OnlyKorea#L3|L3-18
ORBcafe#G|G-65
Original Classic#L3|L3-37,L3-38,L3-39
Oxwhite#G|G-03, G-04
Padi Malaya#G|G-12b
Panas Express#G|G-75
Panda Eyes#L1|L1-21, L1-22
PANGOI#L3|L3-32
Papafry#LG1|LG1-FH-44
Papeleria by VIVE#L1|L1-11
ParaThai#LG1|LG1-15b
Photoism PLAY#L2|L2-57
Pierre Cardin Lingerie#L1|L1-36
Pizza Gao! Gao!#L4|L4-FC-06
POKOK KL Cafe#L4|L4-04c
POLO HAUS#L1|L1-30
POLO HAUS & GENE MARTINO#L3|L3-44
PONEY#L2|L2-22 , L2-23
POP PLAY PLANET#L2|L2-29, L2-30, L2-31
Private Stitch#L1|L1-17
Puzzle Planet#L2|L2-24
Q Pocket#L2|L2-32, L2-33, L2-34
QMac#L3|L3-04
Ray-Ban#G|G-22
Red Wing Shoes#G|G-62
Regal#G|G-28b
Renoma#L1|L1-37a
REST N GO#G|G-14b, G-14c
Restoran Loong Kee#L4|L4-FC-09
Rev Runnr#G|G-60
Rhapsody#G|G-48
Roberto Cavalli#G|G-40a
Rookie#L2|L2-21
Running Lab#L1|L1-13d
Sacoor One#G|G-53
Sai Kee Authentic Home Cuisine#LG1|LG1-01b
Sakanoue Café#G|G-74
Samsonite#G|G-40b
Sasa#L3|L3-15
S-Care#L1|L1-03
Secret Recipe#L1|L1-67
SEMBONIA#L3|L3-23
Semir#G|G-36
Seoul Garden#LG1|LG1-14b
Shabu-yo#G|G-78, G-79
Sheldonet.shop#L3|L3-11d
Sizz Mee#L4|L4-FC-05
Sizzling Master#L4|L4-FC-08
Skechers#L3|L3-34 & 35
Smart Master#L1|L1-05
SODA#L1|L1-29
Sonny Box Breaks#L2|L2-47
Sony Store#L2|L2-12a
Sorella Gallery#L2|L2-58a, L2-58b
Stack'd#L4|L4-FC-24
Stammtisch#G|G-96
Star Child#L1|L1-68b
Starbucks#G|G-72
Subway#L1|L1-01
Sugar and I#G|G-76
Sukiya#LG1|LG1-14c
SUKI-YA#L4|L4-08b, L4-08c, L4-08d
Sun Paradise#L3|L3-45
Sun San Curry#LG1|LG1-11
Superdry#L3|L3-20
Sushi King#LG1|LG1-10
Sushi Yoshi#G|G-01, G-02
Swarovski#G|G-31
Syok Makan#LG1|LG1-09b
Tan Ngan Lo#G|G-93
Tealive#L4|L4-FC-21b
Tefal#L3|L3-K-09
The Chicken Rice Shop#LG1|LG1-14a
The Green Party#L2|L2-10
